Designator,Mid X,Mid Y,Rotation,Layer
C1,44.7,52.8,90.0,top
C11,37.75,53.1,90.0,top
C12,36.85,53.1,90.0,top
C14,42.0,53.1,90.0,top
C15,40.3,53.1,90.0,top
C17,44.2,44.3,0.0,top
C18,43.5,40.6,90.0,top
C19,48.18125,34.65,270.0,top
C2,34.4,26.9,270.0,top
C3,41.15,53.1,90.0,top
C4,39.45,53.1,90.0,top
C5,36.3,27.2,0.0,top
C6,25.1,44.8,0.0,top
C7,38.6,53.1,90.0,top
D1,47.4,46.3,180.0,top
D2,47.4,44.3,180.0,top
D3,47.4,48.3,180.0,top
D4,24.0,52.5,90.0,top
D5,46.55,32.0,0.0,top
D6,26.8,46.525,270.0,top
J1,36.0,45.8,180.0,top
J10,27.8,22.3,90.0,top
J7,45.44,22.7,90.0,top
L1,46.4,41.2,180.0,top
Q1,47.7,51.3,270.0,top
Q2,45.6,29.0,90.0,top
Q3,45.6,37.7,0.0,top
R1,48.8,53.2,90.0,top
R12,48.1,30.4,0.0,top
R13,40.2,20.6,0.0,top
R14,47.6,37.6,270.0,top
R16,43.4,30.1,90.0,top
R17,43.4,31.9,90.0,top
R2,46.7,53.2,270.0,top
R3,23.1,45.3,270.0,top
R4,48.5,28.0,180.0,top
R5,48.5,28.9,180.0,top
R8,45.8,53.2,270.0,top
U1,39.8,23.2,90.0,top
U2,45.28125,34.75,270.0,top
U4,35.0,35.5,90.0,top
